Date,GPRD,GPRD_ACT,GPRD_THREAT,I1JOR001,I1NGA001,I2AUS002,I2AUS004,I2AUS005,I2AUS006,I2CHN003,I2CHN004,I2HKG004,I2HKG008,I2IDN003,I2IND001,I2IND004,I2JPN004,I2JPN006,I2JPN007,I2JPN008,I2JPN012,I2JPN013,I2JPN014,I2JPN015,I2KOR003,I2MYS002,I2NZL001,I2NZL002,I2PAK002,I2SGP002,I2SGP005,I2THA002,I2TWN002,I3AUT001,I3AUT003,I3AUT004,I3AUT005,I3BEL001,I3BEL002,I3BEL003,I3BEL005,I3BEL006,I3CHE002,I3CHE018,I3CHE019,I3DEU001,I3DEU003,I3DEU008,I3DNK001,I3DNK014,I3ESP003,I3ESP004,I3FIN003,I3FIN021,I3FIN022,I3FRA001,I3FRA004,I3FRA005,I3FRA006,I3GBR001,I3GBR049,I3GBR050,I3GBR053,I3GBR057,I3GBR059,I3GBR062,I3GBR068,I3GRC020,I3IRL002,I3IRL004,I3ITA028,I3MLT002,I3NLD013,I3NLD014,I3NOR002,I3NOR004,I3POL001,I3SWE001,I3SWE003,I3TUR001,I4BRA002,I4CHL002,I4MEX001,I4MEX003,I4MEX005,I4VEN002,I5CAN003,I5CAN004,I6UNK001,I6UNK082,I6UNK083,I6UNK107
1/5/05,-0.245036752,-0.494626911,-0.017312759,0.005580357,-0.001705959,-0.005477641,-0.004260152,-0.005204139,-0.005132699,0.007373022,0.017434934,-0.020044283,-0.023413838,-0.00305339,-0.028893356,-0.030749417,-0.008843246,-0.00696577,-0.008664811,-0.008964313,-0.00868751,-0.009046236,-0.005592711,-0.003051529,-0.001928064,0.006061009,0.008876126,0.00889974,-0.001916558,0.001828631,0.001232783,-0.001431744,-0.011895137,-0.009279803,-0.010695034,-0.009808983,-0.006495015,-0.005122042,-0.004116619,-0.004116864,-0.005643233,-0.00617157,-0.00884255,-0.008657259,-0.00811026,-0.007518937,-0.006753893,-0.007595898,-0.005515978,-0.006211765,-0.009757512,-0.010405706,-0.005696264,-0.006864989,-0.005165872,-0.008785235,-0.008893436,-0.008537591,-0.008437549,-0.008364718,-0.008440359,-0.009721598,-0.008625505,-0.001109874,-0.008452825,-0.008407957,-0.008366582,-0.005027237,-0.006327904,-0.00459617,-0.003468008,0.000326548,-0.006444276,-0.007145288,-0.01504817,-0.013672201,-0.019376755,-0.008691776,-0.011726717,-0.024720869,-0.00628782,-0.00747312,-0.015945035,-0.015952765,-0.014541607,-0.004897003,-0.014107,-0.013562162,-0.006242002,-0.00729097,-0.005658078,-0.008976448
1/6/05,-0.189626934,0.08655286,-0.359536576,0.011897891,0.002231648,-0.002976512,-0.002519954,-0.001494675,-0.001761671,-0.009990119,-0.001917766,-0.003801121,-0.003505933,0.014240273,-0.014158889,-0.016247412,0.00359764,0.004786003,0.004347629,0.001435778,0.004031976,0.00395322,0.004748492,0.005552569,-0.01571414,0.00270937,0.000646914,0.00078064,0.01078165,0.008518036,0.009067908,0.014806145,-0.00104369,0,0,0,0,0.006945309,0.003898011,0.003898268,0.004905733,0.007451873,0.002663116,0.002951707,0.002758391,0.010027617,0.008986427,0.009758898,0.009231753,0.009186476,0,0,0,0,0,0.007082123,0.0069086,0.00663497,0.006856016,0.003299315,0.003788982,0.000776513,0.003356102,0.001172835,0.003554911,0.003653661,0.004205579,0,0.007502413,0.00577413,0.003219071,0.002125131,0.008266565,0.00982408,0.003395128,0.004320357,-0.006362894,0,0,0.005687685,-0.013156999,-0.009639427,0.00807096,0.009591963,0.008906128,-0.008623762,0.005489561,0.003932673,-0.000596715,-0.004312378,-0.000175085,-0.002346803
1/10/05,0.266561868,0.308710033,0.495739273,-0.017944106,0.003603126,0.009738744,0.009538045,0.013378657,0.013361906,0.010465295,0.020135387,-0.013174553,-0.009012179,-0.013991786,-0.009242405,-0.00752455,-0.003728133,-0.00513563,-0.00333679,-0.001213882,-0.001925137,-0.002391952,0.002614602,0.003503079,0.003328436,0.00944619,-0.006206362,-0.008580343,0.020569927,-0.0033612,-6.70E-05,0.003474525,-0.006564562,0.003302056,-0.001072371,0.001694473,0.00760048,0.002944096,0.005127517,0.00512796,0.001499633,0.002260119,-0.001992032,-0.001845918,-0.00145617,0.001495022,0.002510704,0.001895016,0.00400544,0.004551426,0.002280359,0.000590737,0.014536797,0.016321045,0.01134438,0.005533544,0.00615142,0.006192765,0.006353618,0.003739905,0.003409856,0.005247872,0.003670412,0.005813785,0.00357671,0.004052476,0.002568907,0.002927265,0.016505555,0.016636805,0.001821178,-0.001159666,0.004288597,0.004326923,0.017213599,0.016652432,-0.005179466,0.015377698,0.016870163,0.042456085,-0.003083277,0.002107728,-0.020569673,-0.02014667,-0.020259819,0.004218078,-0.005907097,-0.006706362,0.001759789,0.001082764,0.00175116,0.001148597
1/11/05,-0.299468085,-0.115136198,-0.474562719,0.004177091,-0.003551815,-0.000982696,-0.000341059,3.08E-05,0.000124394,0.004041038,0.003411177,-0.001636196,-0.005284431,-0.00375192,-0.013580004,-0.016880447,0.009211284,0.009336811,0.009274759,0.012258842,0.010071917,0.00988505,0.012698384,0.008373026,0.011565124,0.012633022,0.002992454,0.00393391,0.034821888,0.002507783,0.001210712,-0.005833082,0.00552092,-0.008024309,-0.008181976,-0.007937541,-0.006783559,-0.00700044,-0.005392128,-0.005391616,-0.006340003,-0.00697007,-0.003592814,-0.0032625,-0.002991611,-0.011459429,-0.010465821,-0.011726877,-0.007310918,-0.006445887,-0.0062515,-0.007084662,-0.011557181,-0.014736444,-0.006502917,-0.00743459,-0.007132779,-0.006899458,-0.006740143,-0.003824999,-0.004540666,-0.00069568,-0.003989443,0.000890645,-0.004386416,-0.004378164,-0.00257955,0.007956612,-0.012557975,-0.003091532,-0.011166898,0.00041092,-0.006405426,-0.007743643,-0.005992766,-0.005840019,-0.004912483,-0.009520857,-0.012159443,0.019743289,0.003213842,-0.020782152,-0.021387883,-0.020505258,-0.018423442,-0.005820366,-0.0002701,-0.000851843,-0.002384089,0.001216792,-0.002622148,-0.000275101
1/12/05,0.358516831,-0.02959378,1.134677573,0.002224447,4.52E-05,-0.001101118,-0.000496765,0.000153865,0.000124378,-0.000428641,-0.001794944,0.004149749,0.00380249,-0.003054356,-0.019304597,-0.02206293,-0.008699373,-0.007504339,-0.009055048,-0.007147111,-0.008130995,-0.008476901,-0.004999735,-0.002865205,-0.004817424,0.00290126,-0.010377481,-0.009404389,-0.00780336,-0.004657983,-0.005931527,0.003844097,-0.016162231,-0.005629604,-0.004505032,-0.006951731,-0.004949811,-0.002117286,-0.003637944,-0.003638906,-0.002949758,-0.001238646,-0.007612179,-0.00761408,-0.007419165,-0.011552345,-0.010523231,-0.011674641,-0.006093686,-0.007239904,-0.001312777,-0.002973005,-0.01037507,-0.012080537,-0.007960868,-0.008534707,-0.00805242,-0.007946148,-0.007716538,-0.005525503,-0.007292393,0.00341322,-0.005751688,0.000806992,-0.006918391,-0.006733544,-0.00494793,0.005113949,-0.003900495,0.003470002,-0.001663311,0.007149028,-0.007837189,-0.006470288,-0.003665144,-0.004131842,0.003534267,-0.016721062,-0.019995891,0.006172691,0.00573372,-0.004575274,0.009730307,0.0101122,0.009197171,0.007829162,-0.000810519,0.000726262,0.003867681,0.003443387,0.004206467,0.002703858
1/13/05,-0.121099208,0.110784073,-0.456246658,0.004771945,-0.006212748,-0.004392537,0.000192463,-0.000399988,-0.000994901,-0.000484517,0.008839204,0.000587528,0.004170997,0.012978643,0.019388013,0.021297019,-0.008056395,-0.00830933,-0.008097349,-0.005684577,-0.006838634,-0.007330504,-0.002641385,0.001128183,0.00626115,0.000825003,0.006553939,0.007911392,-0.034757427,0.002946529,0.001221271,-0.001727538,-0.004276179,-0.002733696,-0.003349985,-0.003037908,-0.003319848,-0.004774843,-0.00318222,-0.002901891,-0.005177348,-0.004237288,0.003364285,0.003210103,0.003563179,0.00078882,0.001184675,0.001355538,0.004287971,0.003788417,0.008065788,0.007752863,0.002778266,0.000194099,0.000552112,0.004708947,0.005013928,0.004926835,0.004913501,0.00384436,0.003497381,0.006338776,0.003909864,0.002084248,0.003639262,0.003873824,0.005276266,0.010060622,0.001190508,0.003796015,0.007891968,0.008609863,0.005096191,0.002827763,0.005811164,0.007731313,0.003744631,0.004455963,0.006323807,0.008438093,0.012082613,0.013783062,0.010874912,0.010742105,0.010847454,-0.008927996,-0.000901307,-0.002114098,-0.005481597,-0.003566142,-0.006196003,-0.001522966
1/17/05,-0.06581876,-0.083762697,-0.299410029,0.0160592,-0.004757137,0.002210943,0.002433929,0.002831815,0.002240757,-0.031570133,-0.022784864,0.003563619,0.000885209,0.003141915,-0.004338489,-0.007911675,0.006671501,0.011346848,0.006248005,0.014575193,0.008999684,0.008551549,0.014178199,0.010833292,0.042392213,-0.001969811,-0.007422842,-0.007849294,0.03216068,0.003542729,0.002295494,0.021444126,0.015601458,0.011647985,0.01279632,0.01073132,0.008096993,0.00508494,0.002388886,0.002388134,0.00397595,0.005189414,0.012875536,0.012922395,0.013146868,0.007922339,0.008417373,0.007928834,0.002284644,0.002877766,0.008460255,0.007574861,0.012375851,0.014942752,0.009233207,0.012344455,0.011719987,0.011724599,0.011853391,0.009289878,0.009655626,0.007827267,0.009391988,0.006620518,0.009634976,0.009440463,0.011058261,-0.009438365,0.010002525,0.008644903,0.008874195,0.00852032,0.007098492,0.008972058,0.0117672,0.01742193,-0.000805404,0.013353855,0.016786446,0.013972737,-0.011711805,0.006731501,0.03109313,0.032203767,0.02848374,-0.001431771,0.004420388,0.005217391,0.004409449,0.001755689,0.003863716,0.000847235
1/18/05,0.275924665,0.20091581,0.98877193,0.013413918,0.002825434,-0.002890627,-0.003321031,-0.003222836,-0.003229412,0.007234608,0.008961653,-0.001279581,0.000843606,-0.006976427,-0.000277685,0.00161594,-0.004322144,-0.005557538,-0.004486947,-0.004653314,-0.004424933,-0.004386306,-0.005073241,-0.003781813,-0.002719158,0.005685109,0.008790344,0.009493671,-0.00440083,-0.002669192,-0.001403848,0.001764789,-0.001967951,0.004015325,0.004017467,0.004456678,0.003431643,-0.001774927,-0.001802701,-0.001801857,-0.002060594,-0.001342282,-0.003575212,-0.003801225,-0.003245815,0.001224823,0.001386741,0.001726784,-0.00119577,-0.002352056,0.001117191,0.000587337,-0.001638524,-0.004780115,-0.000211125,-0.001654025,-0.001017533,-0.001157059,-0.000952249,-0.004147928,-0.004696017,-0.00258223,-0.004391706,0.002487331,-0.004617595,-0.004778483,-0.004111098,-0.011315289,0.000550537,-0.000221539,-0.00051742,-0.00292653,0.000251731,-5.65E-05,0.003745809,0.002068987,-0.019924528,-0.001876173,-0.002134089,-0.001863888,-0.017378184,-0.01069151,0.01432729,0.015525397,0.016524561,-0.002235158,0.007813903,0.007549544,0.002634055,-0.005055612,0.00279916,-0.003261571
1/19/05,-0.036368487,-0.335875309,0.260409315,0,0.001177464,-0.00134647,-0.002407134,-0.001878368,-0.001619938,-0.005994513,-0.010720322,0.005469626,0.00168579,0.009904395,-0.003073147,-0.004286257,-0.000868181,-0.001568729,-0.001229228,-0.001583644,-0.000794614,-0.001023355,0.001546524,0.001570402,-0.004671019,-0.002165195,-0.001560671,-0.001567398,0.021598661,0.007252007,0.006333396,-0.000732859,-0.006441316,-0.006192544,-0.010177453,-0.006394363,-0.005050452,-0.000740868,0.00052475,0.000524676,-0.000225843,-0.000310174,0.002126246,0.001759766,0.00210391,-0.001213915,-0.000745672,-0.000766137,0.001477796,0.000895888,0.000185991,-0.001173985,-0.004944332,-0.006532181,0.000119121,-0.00155096,-0.001096921,-0.000766214,-0.000773739,-0.000160994,-0.001152594,0.004508992,-0.000324642,0.004474631,-0.000962166,-0.000685918,-0.000578701,0.016397609,0.006535473,0.008197238,0.003451251,0.000487644,0.000251667,-0.000790469,-0.004932279,-0.002970342,0.004431446,0.00093985,0.000701478,0.003914873,0.007556917,0.009920945,0.000975622,0.001685401,0.000468929,-0.005548123,-0.00258444,-0.002872307,-0.004065803,0.002100271,-0.004361479,-0.000814682
1/20/05,-0.180861862,0.171635778,-0.370194102,0,0,-0.004909821,-0.004228918,-0.004195718,-0.00449326,-0.011258443,-0.013086573,-0.009872334,-0.010912052,0.007725163,0.001606915,-0.000646307,-0.010572049,-0.010571364,-0.01016501,-0.010865642,-0.009551691,-0.009870734,-0.00677655,-0.004302575,-0.007530531,-0.006210383,-0.009248404,-0.009419152,0,-0.004542727,-0.005721397,-0.003004104,-0.001229783,-0.003523727,-0.006766851,-0.003414762,-0.006023199,-0.001647968,-0.002757464,-0.00275762,-0.001129469,-0.002482159,-0.003713035,-0.003722063,-0.003422173,-0.005916783,-0.005570066,-0.005942112,-0.008368045,-0.008526876,-0.007562218,-0.008462623,-0.01853339,-0.025526977,-0.014541871,-0.00686739,-0.007137815,-0.006621385,-0.006523894,-0.0028323,-0.003634032,0.000354078,-0.003052629,0.004242063,-0.003336429,-0.003157389,-0.00325976,0.004313728,-0.002853028,-0.00316249,-0.001805675,0.000714522,-0.003270852,-0.003362152,-0.008785733,-0.011890106,-0.00223588,-0.00952381,-0.012344201,0,-0.027244602,0.006738235,-0.021553413,-0.019925808,-0.020391522,0.001141136,-0.00393138,-0.004195629,-0.009169702,-0.011425867,-0.009111617,-0.009643669
