date,HSI_return,SH_return,SZ_return,DJI_return,NASDAQ_return,XLK_return,XLV_return,XLI_return,XLE_return,XLF_return,XLY_return,ITA_return,GPR
6/25/15,-0.009458868,-0.034619575,-0.038000136,-0.004214055,-0.001995155,0.008518694,0.001447559,-0.001815871,-0.003286015,-0.003214142,-0.003979461,0.000164555,0.544569906
6/26/15,-0.017751582,-0.073966728,-0.082437785,0.003148064,-0.006196953,0.021760155,0.025091056,0.019248566,0.019292605,0.024701523,0.023115314,0.020315648,-0.377965148
6/29/15,-0.026136116,-0.033352541,-0.057818747,-0.019520602,-0.02402121,-0.000966184,-0.003495093,-0.000554939,-0.006918574,-0.00369155,-0.004445607,-0.00016787,0.680286077
6/30/15,0.010900382,0.055314405,0.05688299,0.001316182,0.005727573,-0.00671785,-0.010639713,-0.00496963,0.012938005,-0.014949495,-0.011247576,-0.007910734,0.236566226
7/2/15,0.001230094,-0.03476651,-0.053229769,-0.0015655,-0.000779953,0.004089488,0.000401016,0.003887449,0.013324269,0.00407498,0.001946788,0.001428571,-0.500583384
7/6/15,-0.031761299,0.024138609,-0.013905697,-0.002624349,-0.003447649,-0.001441268,-0.004789145,-0.008079324,-0.009027216,-0.002033347,-0.00862069,-0.004850309,0.257268596
7/7/15,-0.010341065,-0.012920587,-0.057981396,0.005277777,0.001105783,0.016605617,0.017460747,0.018324607,0.020627063,0.017798013,0.019412382,0.011931962,-0.249125408
7/8/15,-0.058407683,-0.059008753,-0.029423503,-0.014709531,-0.017548915,0.00392253,-0.00538503,-0.002424921,-0.005062252,-0.007802875,-0.004179728,-0.004213365,-0.247362631
7/9/15,0.037260126,0.057635282,0.042519217,0.001895473,0.002574464,-0.015685328,-0.013283741,-0.010337825,-0.005442917,-0.011769481,-0.014291232,-0.011152553,-0.051055122
7/10/15,0.020845914,0.045418714,0.045854423,0.012068755,0.015297416,-0.014975042,-0.008429926,-0.010954902,-0.007026078,-0.012028869,-0.014215002,-0.010321623,0.83167072
7/13/15,0.012960378,0.023875633,0.047849585,0.012233389,0.014768794,-0.003788776,-0.00991132,-0.002731245,-0.007110276,-0.0024,-0.001267588,-0.006472757,0.145987182
7/14/15,-0.004087375,-0.011560835,0.009065209,0.004221902,0.006581866,-0.000236742,-0.001302423,0.004205522,0.017888843,-0.008330028,0.0010151,0.005354201,-0.449878359
7/15/15,-0.002593457,-0.030267395,-0.04683109,-0.000188882,-0.001165549,-0.012622721,-0.00466684,-0.004550419,-0.001363698,-0.009819324,-0.006053727,-0.007602387,2.396910315
7/16/15,0.004271273,0.004591267,0.018561013,0.003882512,0.012598697,-0.01519337,0.002208653,0.000364166,0.01228603,0.002756991,0.001768793,0.003527482,-0.488431637
7/17/15,0.010034265,0.035095429,0.052384725,-0.001865316,0.00909517,-0.005266774,-0.003237503,-0.00018205,0.01343033,-0.001180173,-0.000505114,0.000164916,0.249138114
7/20/15,-0.000411564,0.008783146,0.015181131,0.000771849,0.001673659,0.006685108,0.004422477,0.010857563,-0.000419522,0.001181568,0.003166962,0.022310854,-0.147315044
7/21/15,0.005180909,0.006403882,0.008571933,-0.010006403,-0.002057921,0.016401125,-0.00220636,0.004436229,0.008177076,-0.007427678,-0.004790721,0.009398019,0.547982719
7/22/15,-0.009939134,0.002083294,0.007583609,-0.003808745,-0.006979486,0.002113172,0.003647258,0.009328358,0.000846621,0.008675079,0.005960685,-0.000423155,-0.211487719
7/23/15,0.004597229,0.024311204,0.025192039,-0.006673001,-0.004903544,0.005429651,0.025651303,0.013232514,0.01956553,0.00955414,0,0.014945886,-0.426481713
7/24/15,-0.010643789,-0.012855478,-0.017159438,-0.009214456,-0.011227244,0.009051929,0.000936079,0.00493921,0.014596409,0.007217322,0.007538973,0.011204725,0.292232448
7/27/15,-0.030903145,-0.084833654,-0.075855993,-0.00728234,-0.009599833,-0.008970727,-0.017732825,-0.019008572,-0.027813254,-0.00399361,-0.007734246,-0.012691879,0.512335445
7/28/15,0.006240976,-0.016791042,-0.014109445,0.010875779,0.009807968,-0.006566604,-0.001704694,-0.012150221,-0.013439731,-0.00988533,-0.010165663,-0.017938353,-0.2246156
7/29/15,0.004713936,0.034443334,0.041105711,0.006870003,0.004425048,-0.001872659,0.001444517,0.000921319,0.007049203,0,-0.00362636,0.004993652,-0.248103443
7/30/15,-0.004933904,-0.022010637,-0.033311056,-0.000304765,0.003335466,0.003287929,-0.005744875,0.000922169,0.022340732,0.003173344,-0.00311643,0.000931887,-0.249762202
7/31/15,0.005645363,-0.011344483,-0.001748156,-0.003162406,-9.75E-05,0.005430933,0.000784006,0.004818384,0.021495878,0.001191422,0.003377111,0.005794138,-0.036149761
8/3/15,-0.00912719,-0.011141936,-0.017186496,-0.005181499,-0.002515463,0.005938242,0.000522944,0.000556277,0.003397843,0.00159109,-0.004234649,-0.001531394,-0.60624283
8/4/15,-0.000217111,0.036887525,0.045222742,-0.002699708,-0.001921656,-0.009644789,-0.008297679,-0.005531993,0.007591545,-0.003961965,0.01095442,-0.006760183,4.450167227
8/5/15,0.004426759,-0.016497074,-0.014700792,-0.000582313,0.006735807,0.009978617,0.022266402,0.005189991,-0.015677656,0.003578529,0.013786061,-0.001350211,-0.498216897
8/6/15,-0.005665297,-0.008941223,-0.008210982,-0.00688237,-0.016245326,-0.000712251,0.001725969,0.004842615,0.018200806,-0.001984127,0.000766479,0.005089059,0.654921184
8/7/15,0.00726925,0.022576845,0.026662695,-0.002661921,-0.002551202,-0.01542777,-0.008033715,-0.019181586,-0.030938268,-0.009433962,-0.007983779,-0.0261832,-0.300170157
8/10/15,-0.001276857,0.049198695,0.043119881,0.013917269,0.01155141,0.01518747,0.008500465,0.012391345,-0.001875902,0.009123364,0.009079284,0.010179391,-0.013422767
8/11/15,-0.000934297,-0.00012906,0.001512445,-0.012053815,-0.012742561,-0.004488542,-0.000663658,-0.000184911,-0.017857143,0.009207366,0.004366812,0.004021111,0.054769015
8/12/15,-0.023764593,-0.010587824,-0.015460389,-1.90E-05,0.001508898,0.002842928,0.002261541,0.000740192,0.015397899,-0.003589948,-0.005746393,-0.005961566,0.038699628
8/13/15,0.004297538,0.017557998,0.021199808,0.000329837,-0.002146939,-0.004950495,-0.002785885,-0.006252299,0.002163254,-0.007128713,-0.000638081,-0.00662685,0.130193922
8/14/15,-0.001156178,0.002725717,0.003784197,0.003972255,0.002916425,-0.005625879,-0.009981613,-0.004940531,-0.002158584,-0.001976285,-0.00948047,-0.003897495,-0.288711193
8/17/15,-0.007351914,0.007145172,0.009521883,0.003878151,0.008608941,0.005183789,0.001446797,0.001833181,0.003755597,0.000791139,-0.000884062,0.003269554,0.220713054
8/18/15,-0.014263489,-0.061473312,-0.065569954,-0.001928735,-0.006353477,0.006641366,0.004094031,0.009437454,0.028371955,0.009181637,0.001771255,0.006862827,-0.073899361
8/19/15,-0.013082871,0.012258002,0.02182301,-0.009285983,-0.00796545,0.025042548,0.023796647,0.021164021,0.023100304,0.021615008,0.028898724,0.025960717,0.367389021
8/20/15,-0.01771334,-0.034215675,-0.029017041,-0.020637822,-0.028204541,0.039686552,0.031520223,0.028371551,0.036220472,0.037225042,0.033082302,0.023851992,-0.761741628
8/21/15,-0.015285091,-0.042722317,-0.054235421,-0.031248878,-0.035151277,0.037231253,0.044428259,0.0381279,0.056748211,0.043708609,0.041602465,0.033637596,1.990451072
8/24/15,-0.051676468,-0.08490899,-0.078285673,-0.035747809,-0.038204095,0.011671088,0.010153031,0.012045733,0.014690983,0.014330497,0.004078762,0.009672415,0.19812801
8/25/15,0.00721782,-0.076306931,-0.070403791,-0.012910685,-0.004365645,-0.047979798,-0.040925769,-0.030674847,-0.033931485,-0.036253776,-0.036976839,-0.023784073,-0.4377193
8/26/15,-0.015163308,-0.012708067,-0.029243259,0.039515678,0.042394413,-0.022704837,-0.018695472,-0.023197371,-0.046508011,-0.02401011,-0.022507613,-0.017245907,0.361194027
8/27/15,0.035964705,0.053395156,0.03582233,0.022674144,0.024517088,-0.001970443,0.005710306,-0.000386473,-0.022205323,0.004655099,-0.000397035,-0.00279354,0.083441111
8/28/15,-0.010355546,0.048242131,0.053211564,-0.000706104,0.003243495,0.009197117,0.018584196,0.00896861,-0.010236339,0.008536065,0.007735396,0.009428974,-0.382946281
8/31/15,0.002692437,-0.008156295,-0.023225926,-0.006908606,-0.01073044,0.033127889,0.026952214,0.027238133,0.036511156,0.033524482,0.025998905,0.026225357,0.498477603
9/1/15,-0.022387495,-0.012277658,-0.036651259,-0.02841718,-0.029393846,-0.023570712,-0.02012848,-0.021747649,-0.009121831,-0.013489991,-0.020637899,-0.022281167,0.215508841
9/2/15,-0.011823692,-0.00203908,-0.010599733,0.018247827,0.02456154,-0.000751691,0.007189073,-0.000587429,-0.002775208,-0.00562527,-0.000401875,-0.004050722,-0.213968205
9/8/15,0.032818488,0.029227183,0.032873675,0.024238653,0.027329673,0.013293203,0.015681197,0.010742188,0.019191443,0.0139677,0.01083612,0.006490089,0.402967535
9/9/15,0.041030545,0.022910613,0.02905943,-0.014497947,-0.011513052,-0.009932953,-0.009546879,-0.000585594,-0.005786675,-0.004778454,-0.002801494,-0.000175377,0.209856286
9/10/15,-0.025701597,-0.013936096,-0.018406554,0.004726962,0.008350625,-0.004695996,-0.00637123,-0.005435838,0.008994792,-0.00432526,-0.007415254,-0.002710975,0.004232644
9/11/15,-0.002695884,0.000732045,0.00374497,0.006288272,0.005439666,0.002477701,0.003124556,0.005073171,0.008755174,0.002167317,0.005324814,0.005451508,-0.17053998
9/14/15,0.00267527,-0.026696798,-0.065508057,-0.003780786,-0.003438165,-0.012720157,-0.014141697,-0.017069428,-0.011020151,-0.014102564,-0.010407061,-0.009406846,-0.327501239
9/15/15,-0.004947152,-0.03519522,-0.049848163,0.013981465,0.01139466,-0.004141291,-0.002792516,-0.007235339,-0.027556644,-0.006369427,-0.011202293,-0.003471921,0.534722247
9/16/15,0.023837078,0.048945951,0.064539281,0.008439835,0.005908833,0.006867795,-0.00899405,0.004398547,0.000612745,0.014211886,-0.002598415,0.002261853,-0.319628646
9/17/15,-0.005100002,-0.02100142,-0.015220674,-0.003895472,0.00096334,0.017723415,0.019179241,0.028116398,0.034548336,0.024713151,0.020010602,0.020055018,-0.000757335
9/18/15,0.003029106,0.003841791,0.011384317,-0.017401171,-0.013633159,-0.009886307,0.013434329,-0.004891411,-0.005672865,-0.011343805,-0.00867052,-0.004241407,0.00603144
9/21/15,-0.007476907,0.01892336,0.033089589,0.007666355,0.000356312,0.017094017,0.006183492,0.014691284,0.010670489,0.012814848,0.013446944,0.017166996,0.029813654
9/22/15,0.001822408,0.009212302,0.0060884,-0.010885399,-0.014957703,-0.002507523,0.001007629,0.006997201,0.013068732,-0.000441696,0.002669871,0.010995002,1.184235605
